/home/muralidhar/Downloads/captionfiles/ferngullythelastrainforest1992internaldvdripxvid-ils-english-130266/Ferngully.The.Last.Rainforest.1992.iNTERNAL.DVDRip.XViD-iLS.srt,0.3462,0.1693,0.5145,2.95437262357414,0.6514,2
/home/muralidhar/Downloads/captionfiles/darknessrising2017brripxvidac3-rarbg-english-119146/Darkness.Rising.2017.BRRip.XviD.AC3-RARBG.srt,0.2143,0.1636,0.5214,2.57845433255269,0.6512,2
/home/muralidhar/Downloads/captionfiles/Readability caption files data/Il buono,0.3101,0.2688,0.5316,3.18232558139535,0.651,2
/home/muralidhar/Downloads/captionfiles/thelastemperor1987720pblurayx264-ytsam-english-126925/The.Last.Emperor.1987.720p.BluRay.x264-[YTS.AM].srt,0.325,0.2718,0.5098,3.16359060402685,0.6502,2
/home/muralidhar/Downloads/captionfiles/scooby-doomoonmonstermadness2015dvdripx264-walmartrarbg-english-127144/Scooby-Doo.Moon.Monster.Madness.2015.DVDRip.x264-WaLMaRT[rarbg].srt,0.3061,0.2697,0.5201,3.12154696132597,0.6489,2
/home/muralidhar/Downloads/captionfiles/scooby-doomoonmonstermadness2015dvdripx264-walmartrarbg-english-127144 (1)/Scooby-Doo.Moon.Monster.Madness.2015.DVDRip.x264-WaLMaRT[rarbg].srt,0.3061,0.2697,0.5201,3.12154696132597,0.6489,2
/home/muralidhar/Downloads/captionfiles/phantom-boy-2015-1080p-ytsag-english-98962/Phantom Boy (2015) [1080p] [YTS.AG].srt,0.2615,0.2832,0.5491,3.08690744920993,0.6457,2
/home/muralidhar/Downloads/captionfiles/openseasonscaredsilly2015bdripx264-rovers-english-79157/Open.Season.Scared.Silly.2015.BDRip.x264-ROVERS.srt,0.2861,0.2672,0.4935,2.95271453590193,0.6455,2
/home/muralidhar/Downloads/captionfiles/openseasonscaredsilly2015bdripx264-rovers-english-79157(1)/Open.Season.Scared.Silly.2015.BDRip.x264-ROVERS.srt,0.2861,0.2672,0.4935,2.95271453590193,0.6455,2
/home/muralidhar/Downloads/captionfiles/thecottonclub1984720pblurayx264ytsag-english-122920/The.Cotton.Club.1984.1080p.BluRay.x264-[YTS.AM].srt,0.259,0.2448,0.5398,2.93606870229008,0.6446,2
/home/muralidhar/Downloads/captionfiles/ladybirdladybird1994brripxvidmp3-xvid-english-122998/Ladybird.Ladybird.1994.BRRip.XviD.MP3-XVID.srt,0.193,0.2693,0.524,2.7688060731539,0.6438,2
/home/muralidhar/Downloads/captionfiles/the-harder-they-fall-23976-fps-dvd-english-122373/The Harder They Fall 23.976 FPS DVD.srt,0.2318,0.3176,0.5923,3.19510135135135,0.6427,2
/home/muralidhar/Downloads/captionfiles/whilethecitysleeps1956720pblurayx264ytsag-english-123252/While.The.City.Sleeps.1956.720p.BluRay.x264-[YTS.AM].srt,0.2688,0.3209,0.5282,3.12228260869565,0.642,2
/home/muralidhar/Downloads/captionfiles/thecolorofpomegranates1969720pblurayx264ytsag-english-123771/Sayat Nova [Armenian Cut]eng.srt,0.5196,0.5189,0.4896,4.25877192982456,0.6412,2
/home/muralidhar/Downloads/captionfiles/wildinthecountry1961720pblurayx264ytsag-english-132172/Wild.In.The.Country.1961.1080p.BluRay.x264-[YTS.AM].srt,0.2565,0.3568,0.5186,3.13227893601725,0.6386,2
/home/muralidhar/Downloads/captionfiles/ballerina2016bdripx264-amiable-ytsag-english-107284/Ballerina.2016.BDRip.x264-AMIABLE + YTS.AG.srt,0.2047,0.1867,0.5264,2.53263315828957,0.6376,2
/home/muralidhar/Downloads/captionfiles/dag-2-english-127544/The Mountain II (2016).srt,0.3824,0.2448,0.5225,3.16712517193948,0.637,2
/home/muralidhar/Downloads/captionfiles/superdarktimes2017limitedbdripx264-bipolar-english-117180/Super.Dark.Times.2017.LIMITED.BDRip.x264-BiPOLAR.srt,0.2268,0.1936,0.5116,2.56739526411658,0.637,2
/home/muralidhar/Downloads/captionfiles/bigtopscooby-doo2012internalbdripx264-sprinter-english-95509/Big.Top.Scooby-Doo.2012.iNTERNAL.BDRip.x264-SPRiNTER.srt,0.3052,0.2333,0.4801,2.80573951434879,0.637,2
/home/muralidhar/Downloads/captionfiles/Readability caption files data/Gladiator.720p.SiLU.en.srt,0.2972,0.2188,0.5276,2.86785449146251,0.6361,2
/home/muralidhar/Downloads/captionfiles/thelandbeforetimeiithegreatvalleyadventure19941080pamznwebripddp20h264-sigma-english-125134/The.Land.Before.Time.II.The.Great.Valley.Adventure.1994.1080p.AMZN.WEBRip.DDP2.0.H264-SiGMA.srt,0.265,0.1572,0.4801,2.47191011235955,0.635,2
/home/muralidhar/Downloads/captionfiles/linewatch2008stvdvdripxvid-bulldozer-english-124421/Linewatch.2008.STV.DVDRiP.XViD-BULLDOZER.srt,0.2593,0.2506,0.4955,2.74619289340102,0.6339,2
/home/muralidhar/Downloads/captionfiles/lake-of-dracula-1971-720p-bluray-x264-ghouls-english-127664/Lake of Dracula 1971 720p BluRay x264-GHOULS.srt,0.3519,0.2064,0.5106,2.91666666666667,0.6335,2
/home/muralidhar/Downloads/captionfiles/scoobydoofrankencreepy2014bdripx264-an0nym0us-english-114252/Scooby.Doo.Frankencreepy.2014.BDRip.x264-AN0NYM0US.srt,0.3378,0.2799,0.4693,2.96094552929085,0.6329,2
/home/muralidhar/Downloads/captionfiles/jabharrymetsejal2017hq1080pblurayx264atmos71-dtone-english-122328/Jab.Harry.Met.Sejal.2017.HQ.1080p.Bluray.x264.ATMOS.7.1-[DTOne].srt,0.2524,0.2311,0.5538,2.82534246575342,0.6329,2
/home/muralidhar/Downloads/captionfiles/Readability caption files data/The.Lion.King.1994.m-720p.Blu-ray.AC3.x264-EliteCoder_eng.srt,0.2552,0.2097,0.4927,2.60714285714286,0.6327,2
/home/muralidhar/Downloads/captionfiles/the-lord-of-the-rings-1978-720p-bluray-h264-aac-rarbg-english-76729/The.Lord.Of.The.Rings.1978.720p.BluRay.H264.AAC-RARBG-eng.srt,0.2721,0.29,0.5185,2.9377344336084,0.6322,2
/home/muralidhar/Downloads/captionfiles/meesterkikker20161080pblurayx264yify-english-124596/Meester.Kikker.2016.1080p.BluRay.x264.YIFY.srt,0.3158,0.1436,0.5161,2.6484268125855,0.6317,2
/home/muralidhar/Downloads/captionfiles/newinitialdthemovielegend3-dream2016720pblurayx264ytsag-english-130743/[Anime Land] New Initial D Movie 03 (2016) Bluray 720p Legend 3 - Dream.srt,0.348,0.3522,0.5088,3.27821939586645,0.6312,2
/home/muralidhar/Downloads/captionfiles/metropolitan1990720pblurayx264ytsag-english-122930/Metropolitan.1990.720p.BluRay.x264-[YTS.AM].srt,0.2446,0.3339,0.4721,2.84234828496042,0.6304,2
/home/muralidhar/Downloads/captionfiles/manhattanmurdermystery1993720pblurayx264ytsag-english-122021/Manhattan.Murder.Mystery.1993.720p.BluRay.X264-AMIABLE-HI.srt,0.1904,0.2389,0.5171,2.55561072492552,0.6297,2
/home/muralidhar/Downloads/captionfiles/quadrophenia1979720pblurayx264ytsag-english-123348/Quadrophenia EN.srt,0.2723,0.1763,0.4916,2.53574173712529,0.6292,2
/home/muralidhar/Downloads/captionfiles/Readability caption files data/The.Pianist.720p.BrRip.x264.YIFY.srt,0.3026,0.2659,0.5557,3.0268156424581,0.6286,2
/home/muralidhar/Downloads/captionfiles/threecolorsblue1993dvdripdivx-ddx-english-122436/Three.Colors.Blue.1993.DVDRip.DivX-DDX.srt,0.3662,0.2339,0.5599,3.12272727272727,0.6285,2
/home/muralidhar/Downloads/captionfiles/bling2016720pblurayx264ytsag-english-106400/Bling.2016.720p.BluRay.x264-[YTS.AG].srt,0.2601,0.1754,0.503,2.52542372881356,0.6284,2
/home/muralidhar/Downloads/captionfiles/stillborn2017web-dlxvidmp3-fgt-english-120931/Still.Born.2017.WEB-DL.XviD.MP3-FGT.srt,0.2998,0.2116,0.5067,2.73143759873618,0.6273,2
/home/muralidhar/Downloads/captionfiles/thirteen-english-yify-13352/Thirteen.2003.720p.WEB-DL.DD5.1.H.264-ViGi.srt,0.2549,0.1955,0.5031,2.55649241146712,0.627,2
/home/muralidhar/Downloads/captionfiles/Readability caption files data/22. It's A Wonderful Life (1946) Remastered 25fps.srt,0.2063,0.2542,0.4863,2.52693526482571,0.6253,2
